Card #,Name,Faction,Type,Rarity,Status,Automated from,Still manual
001,"Volkor, the Undying Flame",DisciplesOfTheCelestia,Unit,Mythic,partial,Duty; Fury,"When Volkor enters play, you may choose one - each opponent's Units get -2 Power; each of your Locations gets +2 Power; shuffle up to 2 cards from your Retirement Pile into your deck; or draw 2 cards."
002,Cinderkeeper Voss,DisciplesOfTheCelestia,Unit,Exquisite,auto,Duty; Fury; text,
003,Rite of Reclamation,DisciplesOfTheCelestia,Event,Exquisite,manual,,"Return up to 3 target Units from your Retirement Pile to your hand. If you control a Location, instead return up to 3 target Units and 1 target Location."
004,Temple Eternal,DisciplesOfTheCelestia,Location,Exquisite,partial,Fury,"Whenever a Unit you control would be Retired while stationed here, you may return it to your hand instead of your Retirement Pile."
005,Seraph-Marshal Adalwin,DisciplesOfTheCelestia,Unit,Legendary,partial,Duty; Fury,"When this Unit enters play, you may shuffle target Unit in your Retirement Pile into your deck."
006,Diplomat Roselight,DisciplesOfTheCelestia,Unit,Legendary,auto,Fury; text,
007,Justicar Phosene,DisciplesOfTheCelestia,Unit,Legendary,partial,Duty,"Whenever this Unit would gain Power, it instead gains 1 less Power (minimum 0). The opposing Unit's abilities can't reduce the Power of Units you control."
008,Beacon Across the Rift,DisciplesOfTheCelestia,Event,Legendary,manual,,"Return up to 2 target Units from your Retirement Pile to your hand, or search your deck for a Location card, reveal it, and put it into your hand."
009,Communion of Embers,DisciplesOfTheCelestia,Event,Legendary,manual,,"Each Unit you control gets +1 Power for each Unit in your Retirement Pile, until end of turn."
010,The Vigil Spire,DisciplesOfTheCelestia,Location,Legendary,partial,Fury,"At the start of your turn, you may shuffle a Unit from your Retirement Pile into your deck; if you do, draw a card."
011,Vow-Sworn Paladin,DisciplesOfTheCelestia,Unit,Rare,auto,Duty,
012,Djinn Emberwarden,DisciplesOfTheCelestia,Unit,Rare,auto,Fury,
013,Golem Vigil-Bearer,DisciplesOfTheCelestia,Unit,Rare,manual,,This Unit takes no Power loss from your opponents' abilities.
014,Pilgrim's Guide,DisciplesOfTheCelestia,Unit,Rare,auto,text,
015,Djinn Seer of the Ember Choir,DisciplesOfTheCelestia,Unit,Rare,auto,text,
016,Cleric of the Undying Hearth,DisciplesOfTheCelestia,Unit,Rare,auto,Duty,
017,Bulwark Unbroken,DisciplesOfTheCelestia,Unit,Rare,manual,,This Unit cannot gain Power from your own abilities.
018,Last Watch Anchorite,DisciplesOfTheCelestia,Unit,Rare,auto,Fury,
019,Kindling Oath,DisciplesOfTheCelestia,Event,Rare,auto,text,
020,Pilgrim's Return,DisciplesOfTheCelestia,Event,Rare,manual,,Shuffle up to 2 Units from your Retirement Pile into your deck.
021,Vigil Unbroken,DisciplesOfTheCelestia,Event,Rare,manual,,"Draw a card. If you control a Location, draw an additional card."
022,Sanctified Ground,DisciplesOfTheCelestia,Event,Rare,auto,text,
023,Watchtower of the Ember Choir,DisciplesOfTheCelestia,Location,Rare,auto,Fury,
024,Monastery of Undying Vows,DisciplesOfTheCelestia,Location,Rare,auto,Duty,
025,Waystation of the Faithful,DisciplesOfTheCelestia,Location,Rare,auto,text,
026,Reliquary of the Fallen,DisciplesOfTheCelestia,Location,Rare,auto,text,
027,Ember Novice,DisciplesOfTheCelestia,Unit,Uncommon,auto,Fury,
028,Stone Scout,DisciplesOfTheCelestia,Unit,Uncommon,auto,text,
029,Windbound Oathkeeper,DisciplesOfTheCelestia,Unit,Uncommon,auto,Duty,
030,Wallwatch Recruit,DisciplesOfTheCelestia,Unit,Uncommon,auto,text,
031,Mended Stone,DisciplesOfTheCelestia,Unit,Uncommon,manual,,This Unit gains +1 Power the first time it would lose Power each turn.
032,Windrider Scout,DisciplesOfTheCelestia,Unit,Uncommon,auto,Fury,
033,Zealous Recruit,DisciplesOfTheCelestia,Unit,Uncommon,manual,,This Unit must be played into the leftmost open Unit slot if able.
034,Watch-Stone,DisciplesOfTheCelestia,Unit,Uncommon,auto,Duty,
035,Trailmarker,DisciplesOfTheCelestia,Unit,Uncommon,auto,text,
036,Emberbound Adept,DisciplesOfTheCelestia,Unit,Uncommon,auto,Fury,
037,Dawnguard Initiate,DisciplesOfTheCelestia,Unit,Uncommon,auto,Duty,
038,Patient Stone,DisciplesOfTheCelestia,Unit,Uncommon,manual,,This Unit cannot use Frequent abilities the turn it enters play.
039,Gale Warden,DisciplesOfTheCelestia,Unit,Uncommon,auto,text,
040,Vigil-Keeper,DisciplesOfTheCelestia,Unit,Uncommon,auto,Fury,
041,Bastion Recruit,DisciplesOfTheCelestia,Unit,Uncommon,auto,text,
042,Ember-Touched Seer,DisciplesOfTheCelestia,Unit,Uncommon,auto,Duty,
043,Ember Rekindled,DisciplesOfTheCelestia,Event,Uncommon,auto,text,
044,Watchful Oath,DisciplesOfTheCelestia,Event,Uncommon,manual,,"Draw a card, then discard a card."
045,Steady the Line,DisciplesOfTheCelestia,Event,Uncommon,manual,,Put a +1 Power counter on target Unit you control. It can't be targeted by your opponents' abilities until the start of your next turn.
046,Pilgrim's Blessing,DisciplesOfTheCelestia,Event,Uncommon,auto,text,
047,Cinderlight Vigil,DisciplesOfTheCelestia,Event,Uncommon,manual,,"Target Location you control gets +1 Power, or shuffle target Unit from your Retirement Pile into your deck."
048,Zealous Charge,DisciplesOfTheCelestia,Event,Uncommon,manual,,"Put two +1 Power counters on target Unit you control. If a Unit you controlled was Retired this turn, put three instead."
049,Shared Flame,DisciplesOfTheCelestia,Event,Uncommon,auto,text,
050,Requiem for the Watch,DisciplesOfTheCelestia,Event,Uncommon,manual,,"Put a Unit from your hand into your Retirement Pile; if you do, target Unit you control gets +2 Power."
051,Ember Postulant,DisciplesOfTheCelestia,Unit,Common,none,,
052,Doorstone,DisciplesOfTheCelestia,Unit,Common,none,,
053,Windling Scout,DisciplesOfTheCelestia,Unit,Common,none,,
054,Dawnrecruit,DisciplesOfTheCelestia,Unit,Common,auto,text,
055,Path-Warden,DisciplesOfTheCelestia,Unit,Common,none,,
056,Emberling,DisciplesOfTheCelestia,Unit,Common,auto,text,
057,Trail Postulant,DisciplesOfTheCelestia,Unit,Common,none,,
058,Quiet Stone,DisciplesOfTheCelestia,Unit,Common,auto,text,
059,Gale Postulant,DisciplesOfTheCelestia,Unit,Common,none,,
060,Zealot-in-Training,DisciplesOfTheCelestia,Unit,Common,none,,
061,Threshold Stone,DisciplesOfTheCelestia,Unit,Common,manual,,"Whenever a Unit an opponent controls enters play, you may have this Unit gain +1 Power."
062,Hearthkeeper Novice,DisciplesOfTheCelestia,Unit,Common,none,,
063,Windvow Recruit,DisciplesOfTheCelestia,Unit,Common,none,,
064,Mendstone Novice,DisciplesOfTheCelestia,Unit,Common,manual,,"When this Unit enters play, you may remove all Power-reducing counters from target Unit you control."
065,Ember-Sighted Novice,DisciplesOfTheCelestia,Unit,Common,none,,
066,Wind-Herald,DisciplesOfTheCelestia,Unit,Common,manual,,This Unit cannot be played into the center Unit slot.
067,Silent Vow,DisciplesOfTheCelestia,Unit,Common,none,,
068,Frontstone Recruit,DisciplesOfTheCelestia,Unit,Common,none,,
069,Cinderwind Novice,DisciplesOfTheCelestia,Unit,Common,auto,text,
070,Vigil Scout,DisciplesOfTheCelestia,Unit,Common,none,,
071,Ember-Marked Stone,DisciplesOfTheCelestia,Unit,Common,auto,Fury,
072,Ember Postulant (Paladin),DisciplesOfTheCelestia,Unit,Common,none,,
073,Windsight Novice,DisciplesOfTheCelestia,Unit,Common,auto,Duty,
074,Quarrystone Scout,DisciplesOfTheCelestia,Unit,Common,none,,
075,Ember Spark,DisciplesOfTheCelestia,Event,Common,auto,text,
076,Pilgrim's First Step,DisciplesOfTheCelestia,Event,Common,auto,text,
077,Quiet Vigil,DisciplesOfTheCelestia,Event,Common,auto,text,
078,Stonebound Oath,DisciplesOfTheCelestia,Event,Common,auto,text,
079,Last Ember,DisciplesOfTheCelestia,Event,Common,manual,,Return the top card of your Retirement Pile to your hand if it is a Unit.
080,Novice's Resolve,DisciplesOfTheCelestia,Event,Common,auto,text,
081,Kessantine Vral,AshenLegion,Unit,Mythic,partial,Onslaught; Warcry,"When Vral enters play, choose the Unit your opponents control with the highest Power; that Unit gets -4 Power. Then each Unit you control gets +1 Power."
082,Grudge-Bearer Kharn,AshenLegion,Unit,Exquisite,partial,Onslaught; Warcry,"Whenever an ability an opponent controls would reduce this Unit's Power, this Unit instead gains that much Power."
083,The Long Raid,AshenLegion,Event,Exquisite,manual,,"Each Unit you control gets +2 Power until end of turn. If you control 3 or more Units, instead each Unit you control gets +3 Power until end of turn."
084,The Cinderforge Bastion,AshenLegion,Location,Exquisite,partial,Onslaught,"At the start of your turn, if you control fewer Units than the opponent with the most, put a +1 Power counter on each Unit you control."
085,Ilvess Two-Blades,AshenLegion,Unit,Legendary,partial,Onslaught; Warcry,Each other Unit you control with lower Power than this Unit gets +1 Power.
086,Ironclad Brute,AshenLegion,Unit,Legendary,auto,Onslaught,
087,Kharund Bloodrager,AshenLegion,Unit,Legendary,partial,Warcry,"At the start of your turn, this Unit deals -1 Power to target Unit you control other than itself."
088,War Drums of the Ashen Line,AshenLegion,Event,Legendary,manual,,"Put a +1 Power counter on each Unit you control. If you control 3 or more Units, put two instead."
089,Trophies of the Fallen,AshenLegion,Event,Legendary,manual,,"Retire a Unit you control; if you do, each other Unit you control gets +3 Power until end of turn."
090,The Skullforge,AshenLegion,Location,Legendary,partial,Warcry,This Location cannot lose more than 2 Power from a single ability.
091,Kharund Raider Vanguard,AshenLegion,Unit,Rare,auto,Warcry,
092,Kharund Trophy-Taker,AshenLegion,Unit,Rare,auto,Onslaught,
093,Kharund Skirmisher,AshenLegion,Unit,Rare,manual,,"This Unit gets +2 Power. Whenever this Unit is Retired, each opposing Unit gets -1 Power."
094,Ironjaw Brute,AshenLegion,Unit,Rare,manual,,This Unit cannot use Frequent abilities.
095,Kharund Warcaller,AshenLegion,Unit,Rare,auto,text,
096,Kharund Bloodletter,AshenLegion,Unit,Rare,auto,Onslaught,
097,Kharund Siegebreaker,AshenLegion,Unit,Rare,auto,text,
098,Kharund Forgeborn Brute,AshenLegion,Unit,Rare,auto,Warcry,
